3 8 8 6 6 8 14 14 14 39 42 44 46 47 47 48 45 45 45 45 44 40 40 36 13 8 4 5 10 10 10 36 
21 16 16 15 17 25 25 53 53 53 54 54 53 54 54 54 41 41 37 36 34 27 16 16 11 10 13 21 34 34 34 47 
14 8 7 7 7 12 12 36 38 38 42 42 44 45 46 46 45 45 45 45 44 38 36 10 8 8 5 5 8 14 14 36 
17 17 11 8 7 8 16 16 16 54 56 58 59 62 61 61 37 36 34 34 32 31 28 18 11 11 8 6 7 10 10 36 
12 8 5 5 6 6 9 9 36 36 40 43 43 46 52 52 45 45 45 45 44 44 40 36 15 8 5 5 5 6 12 12 
24 32 32 36 35 34 33 32 32 27 20 14 10 10 8 8 37 40 42 41 41 41 41 40 39 38 38 37 36 34 32 31 
13 8 6 6 11 11 36 43 44 53 53 60 62 63 63 63 45 45 44 36 36 15 8 3 4 10 10 10 36 26 28 30 
27 16 8 6 6 6 12 12 53 53 53 53 54 53 53 53 39 38 36 34 31 29 15 15 8 3 3 6 6 6 42 45 
15 8 5 5 5 6 14 14 36 36 40 43 43 44 46 47 45 45 45 45 44 36 36 18 9 5 4 4 6 6 13 13 
26 17 9 9 5 4 5 6 6 10 10 10 51 53 53 53 38 38 36 36 34 33 32 32 31 30 23 12 8 4 4 3 
13 25 25 56 56 57 63 60 59 59 59 60 59 58 58 58 31 19 9 6 6 6 15 15 43 44 44 44 44 45 45 44 
22 14 9 7 7 8 8 11 11 42 42 51 51 52 52 54 37 36 35 34 32 32 31 31 25 14 8 4 4 4 5 10 
26 18 11 11 8 7 8 13 13 13 51 52 52 52 52 52 38 37 36 34 33 33 31 30 22 11 8 4 4 6 6 37 
24 16 11 10 10 11 14 25 25 25 52 52 52 52 52 52 36 36 35 33 32 31 26 26 16 8 5 5 5 5 9 9 
23 15 10 10 8 8 8 12 12 12 42 51 52 52 52 52 38 36 36 34 32 31 30 30 27 18 10 8 4 4 4 5 
22 12 8 8 7 8 10 16 16 16 51 52 52 52 52 52 40 40 37 36 32 31 30 25 25 14 8 5 5 5 5 10 
24 15 15 10 9 9 10 14 14 14 47 51 53 52 52 52 36 35 35 34 32 31 31 29 21 21 12 8 5 6 9 9 
12 12 11 13 20 31 38 38 42 45 52 69 69 69 69 69 45 44 44 43 36 18 10 10 8 6 8 14 14 36 36 29 
11 12 12 22 41 43 47 55 61 61 63 62 61 61 60 60 45 44 36 36 16 10 9 13 21 27 27 29 30 31 32 34 
27 27 20 14 11 9 9 9 9 10 14 14 38 50 50 51 38 37 37 37 36 35 34 33 32 31 31 28 19 12 8 6 
9 8 10 10 10 37 40 43 45 45 47 49 50 50 51 51 45 45 44 36 16 8 6 6 6 10 10 36 36 28 29 30 
18 10 8 7 7 8 10 10 43 52 52 52 52 52 53 53 36 35 35 33 31 30 28 18 10 10 8 5 5 5 9 9 
12 12 8 7 8 13 13 13 37 41 43 45 46 48 48 48 45 45 45 44 43 36 36 19 11 8 6 6 6 8 14 14 
24 14 9 7 7 8 9 15 15 49 49 52 52 53 53 53 45 41 36 34 34 32 30 26 16 9 9 5 5 5 5 9 
14 10 10 8 7 8 10 15 15 15 36 41 43 45 45 48 45 45 45 45 44 44 41 36 23 23 15 10 8 6 6 6 
27 15 9 8 8 8 14 14 51 53 53 53 53 54 57 58 38 37 35 32 31 31 27 17 8 5 5 5 5 6 9 16 
21 14 10 8 8 7 7 7 8 8 9 11 16 26 36 42 45 45 45 45 45 45 45 45 44 43 40 36 36 22 14 9 
26 16 10 9 9 10 14 28 28 52 52 53 53 53 53 53 38 38 36 34 32 30 23 23 12 8 5 5 6 6 12 12 
16 10 10 11 11 14 24 38 38 44 44 46 47 48 49 50 45 45 45 44 43 36 20 12 12 9 8 8 11 16 16 25 
